supermarket,product,unit_price,year,month,day,weekday,total_sale
ASDA,Pukka Minced Beef & Onion Pie,7.0,2024,1,29,0,1
ASDA,Yakult Original,7.1,2024,1,29,0,1
ASDA,Heinz Tomato Ketchup,4.6,2024,1,29,0,1
ASDA,Paxo Sage & Onion Stuffing Mix,15.88,2024,1,29,0,1
ASDA,Lindt Gold Bunny White Chocolate,25.0,2024,1,29,0,1
ASDA,Bakers Meaty Meals Adult Dry Dog Food Chicken,2.87,2024,1,29,0,1
ASDA,Cherry Blossom Shoe Care Brush Set,4.5,2024,1,29,0,1
ASDA,Dr Pepper Zero,3.4,2024,1,29,0,1
ASDA,Sharwood's Medium Egg Noodles,8.81,2024,1,29,0,1
ASDA,Urban Fruit Gently Baked Mango,24.3,2024,1,29,0,1
ASDA,Saint Agur Blue Cheese,20.0,2024,1,29,0,1
ASDA,Yakult Balance,7.1,2024,1,29,0,1
ASDA,Heinz Seriously Good Light Mayonnaise,4.4,2024,1,29,0,1
ASDA,Red Bull Energy Drink,4.3,2024,1,29,0,2
ASDA,Betty Crocker Chocolate Fudge Icing,7.5,2024,1,29,0,1
ASDA,Quorn Vegan Chicken Free Slices,21.9,2024,1,29,0,1
ASDA,Ginsters Peppered Steak Slice,11.5,2024,1,29,0,1
ASDA,Bulldog Sensitive Moisturiser,44.0,2024,1,29,0,1
ASDA,Coca-Cola Cherry,1.4,2024,1,29,0,1
ASDA,Robinsons Crushed Lime & Mint Fruit Cordial,6.0,2024,1,29,0,1
ASDA,Relentless Origin Energy Drink,2.05,2024,1,29,0,2
ASDA,Monster Energy Drink,2.4,2024,1,29,0,1
ASDA,Lee Kum Kee Premium Dark Soy Sauce,9.3,2024,1,29,0,1
ASDA,Goodfella's Gluten Free Margherita Pizza,12.2,2024,1,29,0,1
ASDA,Betty Crocker Velvety Vanilla Cake Mix,7.1,2024,1,29,0,1
ASDA,Pukka Pepperoni Pizza Slice,10.3,2024,1,29,0,1
ASDA,Bisto Chicken Gravy Granules,14.7,2024,1,29,0,1
ASDA,Tropicana Pure Orange & Mango Fruit Juice,2.8,2024,1,29,0,1
ASDA,Barossa Ink Shiraz,146.63,2024,1,29,0,1
ASDA,Blue Dragon Coconut Milk,6.2,2024,1,29,0,1
ASDA,Bonne Maman Blackcurrant Conserve,9.2,2024,1,29,0,1
ASDA,Quorn Vegetarian Chicken & Leek Family Pie,5.88,2024,1,29,0,1
ASDA,Dairylea Cheese Spread,10.93,2024,1,29,0,1
ASDA,Blue Dragon Satay Stir Fry Sauce,7.9,2024,1,29,0,1
ASDA,Squeaky Bean Spanish Chorizo Style Slices,31.67,2024,1,29,0,1
ASDA,HP Brown Sauce,5.6,2024,1,29,0,1
ASDA,Knorr Beef Stock Cubes,23.8,2024,1,29,0,1
ASDA,Bombay Sapphire Gin & Tonic,10.0,2024,1,29,0,1
ASDA,Sharwood's Fine Egg Noodles,8.81,2024,1,29,0,1
ASDA,Clover Spread,4.8,2024,1,29,0,1
ASDA,Rajah Chilli Powder,7.0,2024,1,29,0,2
ASDA,Gressingham Duck Fat,12.6,2024,1,29,0,1
ASDA,Blue Dragon Sweet & Sour Stir Fry Sauce,7.9,2024,1,29,0,1
ASDA,Lee Kum Kee Panda Oyster Sauce,4.7,2024,1,29,0,1
ASDA,Bisto Best Chicken Gravy Granules,13.0,2024,1,29,0,1
ASDA,Pepsi Max Lime No Sugar Cola Cans,1.3,2024,1,29,0,1
ASDA,Monster Energy Drink Pacific Punch,3.6,2024,1,29,0,1
ASDA,Felix Goody Bag Cat Treats Seaside Mix,20.0,2024,1,29,0,1
ASDA,Loyd Grossman Tomato & Chilli Pasta Sauce,6.8,2024,1,29,0,1
ASDA,Dorset Cereals Oat Granola Breakfast Cereal,7.9,2024,1,29,0,1
ASDA,Clover Light Spread,4.8,2024,1,29,0,1
ASDA,Pukka Steak Slice,10.3,2024,1,29,0,1
ASDA,Cadbury Dairy Milk Whole Nut Chocolate Bar,12.5,2024,1,29,0,1
ASDA,Canescool Soothing Cream Gel,400.0,2024,1,29,0,1
ASDA,Tiger Energy Drink,2.6,2024,1,29,0,1
ASDA,Loyd Grossman Tomato & Basil Pasta Sauce,8.6,2024,1,29,0,1
ASDA,Bonne Maman Peach Conserve,9.2,2024,1,29,0,1
ASDA,Very Lazy Cajun Paste,13.0,2024,1,29,0,1
ASDA,Batchelors Original Mushy Peas,1.94,2024,1,29,0,1
ASDA,Walkers Cheese & Onion Multipack Crisps,13.3,2024,1,29,0,1
ASDA,Lyle's Golden Syrup,3.4,2024,1,29,0,1
ASDA,Lea & Perrins Worcestershire Sauce,11.3,2024,1,29,0,1
ASDA,Peperami Pizza Buns Original,14.1,2024,1,29,0,1
ASDA,Coca-Cola Original Taste,1.6,2024,1,29,0,1
ASDA,Betty Crocker Zesty Lemon Cake Mix,7.06,2024,1,29,0,1
ASDA,Ginsters Chicken & Bacon Pasty,6.9,2024,1,29,0,1
ASDA,Sudocrem Antiseptic Healing Cream,18.8,2024,1,29,0,1
ASDA,Ocean Spray Smooth Cranberry Sauce,7.0,2024,1,29,0,1
ASDA,Oust All Purpose Descaler,21.33,2024,1,29,0,1
ASDA,Peperami Firestick,22.5,2024,1,29,0,1
ASDA,Princes Corned Beef,12.5,2024,1,29,0,1
ASDA,Fanta Fruit Twist,1.0,2024,1,29,0,1
ASDA,Fanta Lemon,1.4,2024,1,29,0,1
ASDA,Buxton Still Natural Mineral Water,1.4,2024,1,29,0,1
ASDA,Peperami Original Salami,55.6,2024,1,29,0,1
ASDA,Savlon Antiseptic Cream,48.0,2024,1,29,0,2
ASDA,Pukka Chicken & Bacon Slice,10.3,2024,1,29,0,1
ASDA,Ginsters Chicken Tikka Slice,11.5,2024,1,29,0,1
ASDA,Pringles Sour Cream & Onion Sharing Crisps,12.2,2024,1,29,0,1
ASDA,Birds Eye Garden Peas,2.31,2024,1,29,0,1
ASDA,Quorn Vegetarian Steak Strips,8.33,2024,1,29,0,1
ASDA,Cape Herb & Spice Rub Louisiana Cajun Seasoning,25.0,2024,1,29,0,1
ASDA,Swizzels Luscious Lollies,7.7,2024,1,29,0,1
