supermarket,unit_price,unit,names,date,category,own_brand,Morrisons_price,Tesco_price,Sains_price
ASDA,7.0,kg,Pukka Minced Beef & Onion Pie,20240129,fresh_food,False,9.3,2.0,7.0
ASDA,7.1,l,Yakult Original,20240129,fresh_food,False,5.6,7.12,7.2
ASDA,4.6,kg,Heinz Tomato Ketchup,20240129,food_cupboard,False,5.4,3.9,5.7333333333333325
ASDA,15.88,kg,Paxo Sage & Onion Stuffing Mix,20240129,food_cupboard,False,15.88,12.95,13.283333333333333
ASDA,25.0,kg,Lindt Gold Bunny White Chocolate,20240129,food_cupboard,False,37.5,32.5,37.5
ASDA,2.87,kg,Bakers Meaty Meals Adult Dry Dog Food Chicken,20240129,fresh_food,False,3.33,2.87,2.94
ASDA,3.4,l,Dr Pepper Zero,20240129,drinks,False,1.0,3.4,1.2
ASDA,8.81,kg,Sharwood's Medium Egg Noodles,20240129,food_cupboard,False,8.85,8.85,5.53
ASDA,7.1,l,Yakult Balance,20240129,fresh_food,False,5.6,7.1,7.2
ASDA,4.4,l,Heinz Seriously Good Light Mayonnaise,20240129,food_cupboard,False,4.9,4.9,5.6000000000000005
ASDA,4.3,l,Red Bull Energy Drink,20240129,drinks,False,5.1,4.8,5.433333333333334
ASDA,7.5,kg,Betty Crocker Chocolate Fudge Icing,20240129,food_cupboard,False,6.2,7.5,7.5
ASDA,21.9,kg,Quorn Vegan Chicken Free Slices,20240129,fresh_food,False,26.0,26.0,26.0
ASDA,11.5,kg,Ginsters Peppered Steak Slice,20240129,fresh_food,False,7.3,11.5,7.4
ASDA,44.0,l,Bulldog Sensitive Moisturiser,20240129,health_products,False,66.0,70.0,66.0
ASDA,1.4,l,Coca-Cola Cherry,20240129,free-from,False,3.8,1.7,2.85
ASDA,6.0,l,Robinsons Crushed Lime & Mint Fruit Cordial,20240129,drinks,False,6.0,6.0,5.0
ASDA,2.05,l,Relentless Origin Energy Drink,20240129,drinks,False,2.8,2.25,2.1
ASDA,2.4,l,Monster Energy Drink,20240129,drinks,False,3.6,3.25,3.0
ASDA,9.3,l,Lee Kum Kee Premium Dark Soy Sauce,20240129,food_cupboard,False,9.9,7.3,3.5
ASDA,12.2,kg,Goodfella's Gluten Free Margherita Pizza,20240129,fresh_food,False,12.2,11.43,11.43
ASDA,7.1,kg,Betty Crocker Velvety Vanilla Cake Mix,20240129,food_cupboard,False,5.9,7.1,7.06
ASDA,10.3,kg,Pukka Pepperoni Pizza Slice,20240129,fresh_food,False,10.3,10.3,10.3
ASDA,14.7,kg,Bisto Chicken Gravy Granules,20240129,food_cupboard,False,14.7,13.566666666666668,11.566666666666668
ASDA,2.8,l,Tropicana Pure Orange & Mango Fruit Juice,20240129,drinks,False,2.0,2.7,4.9
ASDA,146.63,l,Barossa Ink Shiraz,20240129,drinks,False,12.64,14.63,14.63
ASDA,6.2,l,Blue Dragon Coconut Milk,20240129,food_cupboard,False,6.2,6.25,4.4
ASDA,9.2,kg,Bonne Maman Blackcurrant Conserve,20240129,food_cupboard,False,8.9,9.6,7.0
ASDA,5.88,kg,Quorn Vegetarian Chicken & Leek Family Pie,20240129,fresh_food,False,5.15,5.88,5.88
ASDA,10.93,kg,Dairylea Cheese Spread,20240129,fresh_food,False,8.33,11.725,11.17
ASDA,7.9,kg,Blue Dragon Satay Stir Fry Sauce,20240129,free-from,False,7.92,7.9,5.8
ASDA,31.67,kg,Squeaky Bean Spanish Chorizo Style Slices,20240129,free-from,False,27.78,31.67,33.33
ASDA,5.6,kg,HP Brown Sauce,20240129,food_cupboard,False,5.5,5.8,9.0
ASDA,23.8,kg,Knorr Beef Stock Cubes,20240129,food_cupboard,False,15.0,23.8,15.0
ASDA,10.0,l,Bombay Sapphire Gin & Tonic,20240129,drinks,False,10.0,9.6,9.2
ASDA,8.81,kg,Sharwood's Fine Egg Noodles,20240129,food_cupboard,False,8.85,8.85,5.53
