supermarket,unit_price,unit,names,date,category,own_brand,ASDA_price,Tesco_price,Sains_price
Morrisons,2.8,l,Monster Energy Zero Sugar,20240129,drinks,False,3.4,3.0,2.95
Morrisons,4.4,kg,McCain Potato Smiles,20240129,food_cupboard,False,5.51,5.51,5.51
Morrisons,14.7,kg,Walkers Ready Salted Multipack Crisps,20240129,food_cupboard,False,13.3,11.75,14.7
Morrisons,14.7,kg,Walkers Cheese & Onion Multipack Crisps,20240129,food_cupboard,False,13.3,10.5,14.7
Morrisons,2.5,l,Coca-Cola Original Taste,20240129,drinks,False,1.6,3.128571428571429,3.2375000000000003
Morrisons,20.6,kg,Reese's Peanut Butter Creme Egg,20240129,food_cupboard,False,20.6,17.6,19.1
Morrisons,1.0,l,Pepsi Max No Sugar Cola Bottle,20240129,drinks,False,3.1,1.7666666666666668,3.5
Morrisons,1.4,kg,Laila Basmati Rice,20240129,food_cupboard,False,1.8,2.1666666666666665,1.6833333333333331
Morrisons,4.27,kg,Birds Eye Garden Peas,20240129,frozen,False,2.31,3.526666666666667,3.616666666666666
Morrisons,9.0,l,Kikkoman Tamari Gluten Free Soy Sauce,20240129,free-from,False,11.0,12.0,8.0
Morrisons,1.3,l,Schweppes Slimline Tonic Water,20240129,drinks,False,1.7,2.45,2.2
Morrisons,1.0,l,Coca-Cola Zero Sugar,20240129,drinks,False,3.4,2.4,2.6555555555555563
Morrisons,0.7,kg,Elephant Atta Medium Chapatti Flour,20240129,food_cupboard,False,1.33,0.97,0.7
Morrisons,1.0,l,Pepsi Max Cherry No Sugar Cola Bottle,20240129,drinks,False,3.1,1.7666666666666668,3.5
Morrisons,3.5,kg,Clover Spread,20240129,fresh_food,False,4.8,4.0,3.95
Morrisons,4.2,kg,Heinz Vegetable Soup,20240129,food_cupboard,False,4.2,4.2,2.65
Morrisons,7.4,kg,Soreen Lift Bars Blueberry,20240129,bakery,False,0.38,14.6,0.56
Morrisons,11.3,kg,Cadbury Dairy Milk Caramel Chocolate Bar,20240129,food_cupboard,False,11.1,10.8,12.45
Morrisons,9.9,l,Lee Kum Kee Premium Dark Soy Sauce,20240129,food_cupboard,False,9.3,7.3,3.5
Morrisons,4.2,kg,Heinz Oxtail Soup,20240129,food_cupboard,False,4.2,4.2,4.3
Morrisons,8.0,kg,Anchor Salted Butter,20240129,fresh_food,False,8.0,10.0,10.0
Morrisons,1.0,l,Ocean Spray Cranberry Classic Juice Drink,20240129,drinks,False,1.8,1.65,3.7
Morrisons,1.3,l,Schweppes Tonic Water,20240129,drinks,False,1.7,2.45,2.2
Morrisons,22.5,kg,Felix Goody Bag Cat Treats Seaside Mix,20240129,pets,False,20.0,15.415,20.5
Morrisons,7.2,kg,Arla Protein Strawberry Yogurt,20240129,fresh_food,False,5.5,6.2,5.5
Morrisons,45.8,kg,Kiddylicious Veggie Straws,20240129,baby_products,False,58.3,64.58500000000001,56.06666666666666
Morrisons,3.5,kg,Clover Light Spread,20240129,fresh_food,False,4.8,4.8,3.95
Morrisons,14.7,kg,Walkers Salt & Vinegar Multipack Crisps,20240129,food_cupboard,False,13.3,13.0,14.7
Morrisons,22.5,kg,Felix Goody Bag Cat Treats Original Mix,20240129,pets,False,20.0,18.33,20.5
Morrisons,9.9,l,Lee Kum Kee Premium Light Soy Sauce,20240129,food_cupboard,False,9.3,7.3,3.5
Morrisons,4.39,kg,Heinz Spaghetti Hoops in Tomato Sauce,20240129,food_cupboard,False,4.39,3.35,1.88
Morrisons,2.6,kg,Tilda Pure Basmati Rice,20240129,food_cupboard,False,4.0,4.35,3.8
Morrisons,1.0,l,Diet Pepsi Cola Bottle,20240129,drinks,False,3.1,0.9,3.5
Morrisons,7.4,kg,Soreen Lift Bars Raspberry & Vanilla,20240129,bakery,False,0.38,14.6,0.56
Morrisons,0.3,unit,Maltesers Cake Bars,20240129,bakery,False,0.4,0.46,0.3
Morrisons,7.2,kg,Arla Protein Blueberry Yogurt,20240129,fresh_food,False,5.5,6.2,6.3
Morrisons,1.8,l,Old Jamaica Ginger Beer,20240129,food_cupboard,False,1.8,1.5,1.5
Morrisons,2.67,kg,Batchelors Original Mushy Peas,20240129,food_cupboard,False,1.94,1.97,2.67
Morrisons,8.8,kg,Princes Corned Beef,20240129,food_cupboard,False,12.5,12.166666666666664,11.933333333333332
Morrisons,22.5,kg,Felix Goody Bag Cat Treats Mixed Grill,20240129,pets,False,20.0,18.33,22.5
Morrisons,14.7,kg,Walkers Prawn Cocktail Multipack Crisps,20240129,food_cupboard,False,13.3,13.0,14.7
Morrisons,1.0,l,Dr Pepper Zero,20240129,drinks,False,3.4,3.4,1.2
Morrisons,5.3,kg,Dolmio Lasagne Creamy White Sauce,20240129,food_cupboard,False,3.9,4.55,3.8
Morrisons,1.0,l,Fanta Orange Zero,20240129,drinks,False,3.4,2.2,1.2999999999999998
Morrisons,4.1,kg,Maggi Authentic Indian Tamarind Sauce,20240129,food_cupboard,False,4.1,5.3,5.3
Morrisons,4.2,kg,Heinz Minestrone Soup,20240129,food_cupboard,False,4.2,4.2,3.0
Morrisons,4.2,kg,Heinz Chicken Noodle Soup,20240129,food_cupboard,False,4.2,4.2,4.3
Morrisons,4.2,kg,Heinz Beef Broth Soup,20240129,food_cupboard,False,4.2,4.2,4.3
Morrisons,1.0,l,Fanta Lemon,20240129,drinks,False,1.4,1.9333333333333336,2.25
Morrisons,20.3,kg,Cadbury Caramilk Golden Caramel Chocolate Bar,20240129,food_cupboard,False,16.7,13.633333333333333,18.3
Morrisons,5.4,kg,Heinz Tomato Ketchup,20240129,food_cupboard,False,4.6,3.9,5.7333333333333325
Morrisons,1.0,l,Fanta Orange,20240129,drinks,False,1.0,2.24,2.24
Morrisons,6.3,kg,Ambrosia Devon Custard,20240129,fresh_food,False,2.5,4.2,4.0
Morrisons,22.6,kg,Quaker Oat So Simple Golden Syrup Porridge Pot,20240129,food_cupboard,False,22.6,22.8,22.8
Morrisons,6.8,l,Bottlegreen Elderflower Cordial,20240129,drinks,False,8.0,8.5,8.5
Morrisons,15.3,kg,Walkers Salt & Shake Multipack Crisps,20240129,food_cupboard,False,13.9,13.5,15.3
Morrisons,1.0,l,Pepsi Max Lime No Sugar Cola Bottle,20240129,drinks,False,3.1,1.7666666666666668,3.5
Morrisons,3.0,kg,Vitalite Dairy Free Spread,20240129,free-from,False,3.4,4.0,4.0
Morrisons,1.0,l,Tango Orange Original Bottle,20240129,drinks,False,3.1,2.05,3.2
Morrisons,1.0,l,Fanta Fruit Twist,20240129,drinks,False,1.0,2.2,2.45
Morrisons,14.7,kg,Walkers Smoky Bacon Multipack Crisps,20240129,food_cupboard,False,13.3,13.0,14.7
Morrisons,4.7,kg,Cofresh Gujarati Mix,20240129,food_cupboard,False,4.6,3.0,3.1
Morrisons,12.9,kg,Quaker Oat So Simple Original Porridge Sachets,20240129,food_cupboard,False,13.0,13.0,10.6
Morrisons,8.33,kg,Dairylea Cheese Spread,20240129,fresh_food,False,10.93,11.725,11.17
Morrisons,4.2,kg,Heinz Lentil Soup,20240129,food_cupboard,False,4.2,4.2,3.0
Morrisons,4.45,kg,Birds Eye Supersweet Sweetcorn,20240129,frozen,False,4.22,4.45,4.22
Morrisons,5.0,kg,Dolmio Lasagne Red Tomato Sauce,20240129,food_cupboard,False,3.7,4.3,3.6
Morrisons,10.5,kg,Walkers Classic Variety Multipack Crisps,20240129,food_cupboard,False,13.3,10.65,11.666666666666664
Morrisons,4.7,kg,Cofresh London Mix,20240129,food_cupboard,False,4.6,3.0,3.1
Morrisons,4.2,kg,Heinz Spring Vegetable Soup,20240129,food_cupboard,False,4.2,4.2,3.0
Morrisons,7.3,kg,Ginsters Peppered Steak Slice,20240129,fresh_food,False,11.5,11.5,7.4
Morrisons,1.9,l,Fruit Shoot Orange Kids Juice Drink,20240129,drinks,False,1.6,2.1333333333333333,2.18
Morrisons,2.0,l,Innocent Apple Juice,20240129,drinks,False,3.3,3.15,2.2
Morrisons,6.8,l,Jimmy's Iced Coffee Mocha,20240129,drinks,False,6.8,7.3,4.5
Morrisons,5.5,kg,HP Brown Sauce,20240129,food_cupboard,False,5.6,5.8,9.0
Morrisons,5.0,kg,Dolmio Bolognese Smooth Tomato Pasta Sauce,20240129,food_cupboard,False,3.7,4.3,4.35
Morrisons,2.8,l,Relentless Raspberry Zero Energy Drink,20240129,drinks,False,2.5,2.5,2.4
Morrisons,4.2,kg,Heinz French Onion Soup,20240129,food_cupboard,False,4.2,4.2,3.0
Morrisons,1.9,l,Fruit Shoot Summer Fruits Kids Juice Drink,20240129,drinks,False,1.6,2.35,2.1
Morrisons,8.8,kg,Princes Reduced Salt Corned Beef,20240129,food_cupboard,False,9.6,10.3,10.3
Morrisons,11.1,kg,Cadbury Dairy Milk Chocolate Bar,20240129,food_cupboard,False,13.6,11.45,13.580000000000002
Morrisons,6.2,kg,Arla Protein Chocolate Flavour Pudding,20240129,fresh_food,False,6.2,8.8,8.8
Morrisons,1.3,l,Schweppes Pink Soda,20240129,drinks,False,1.7,1.8,2.2
Morrisons,5.1,l,Red Bull Energy Drink,20240129,drinks,False,4.3,4.8,5.433333333333334
Morrisons,7.3,kg,Ginsters Chicken & Mushroom Slice,20240129,fresh_food,False,11.5,11.5,7.4
Morrisons,23.5,kg,Properchips Barbecue Lentil Chips,20240129,free-from,False,27.1,50.0,21.5
Morrisons,8.1,l,Haagen-Dazs Strawberry Cheesecake Ice Cream,20240129,frozen,False,11.6,11.7,11.6
Morrisons,5.7,l,Johnson's Soothing Vapour Bath,20240129,baby_products,False,8.8,8.8,5.8
Morrisons,11.1,kg,Cadbury Dairy Milk Whole Nut Chocolate Bar,20240129,food_cupboard,False,12.5,11.1,12.45
Morrisons,9.1,kg,Maynards Bassetts Jelly Babies,20240129,food_cupboard,False,7.6,9.1,9.1
Morrisons,3.2,l,Tiger Energy Drink,20240129,food_cupboard,False,2.6,2.8,2.8
Morrisons,2.8,l,Relentless Origin Energy Drink,20240129,drinks,False,2.05,2.25,2.1
Morrisons,3.8,l,Coca-Cola Cherry,20240129,drinks,False,1.4,1.7,2.85
Morrisons,9.1,kg,Maynards Bassetts Wine Gums,20240129,food_cupboard,False,7.6,9.1,8.5
Morrisons,28.7,kg,Quaker Oat So Simple Original Porridge Pot,20240129,food_cupboard,False,28.7,28.9,28.9
Morrisons,12.2,kg,Goodfella's Gluten Free Margherita Pizza,20240129,free-from,False,12.2,11.43,11.43
Morrisons,4.98,kg,Heinz Spaghetti Bolognese,20240129,food_cupboard,False,7.0,7.5,5.5
Morrisons,4.2,kg,Heinz Spicy Parsnip Soup,20240129,food_cupboard,False,4.2,4.2,3.0
Morrisons,3.6,l,Monster Energy Drink,20240129,drinks,False,2.4,3.25,3.0
Morrisons,6.7,kg,Pip & Nut Crunchy Peanut Butter,20240129,food_cupboard,False,6.3,10.3,7.9
Morrisons,5.15,kg,Quorn Vegetarian Chicken & Leek Family Pie,20240129,frozen,False,5.88,5.88,5.88
Morrisons,3.8,l,Coca-Cola Zero Sugar Cherry,20240129,drinks,False,3.4,2.15,3.5
Morrisons,0.25,unit,Soreen Malt Lunchbox Loaves,20240129,bakery,False,0.25,4.325,0.25
Morrisons,4.2,kg,Heinz Lentil & Bacon Soup,20240129,food_cupboard,False,4.2,4.2,4.3
Morrisons,4.2,kg,Heinz Broccoli & Stilton Soup,20240129,food_cupboard,False,4.2,4.2,3.0
Morrisons,10.0,kg,Rajah Haldi Ground Turmeric,20240129,food_cupboard,False,7.5,6.0,4.0
Morrisons,7.3,kg,Ginsters Chicken Tikka Slice,20240129,fresh_food,False,11.5,11.5,7.4
Morrisons,6.5,kg,Swizzels Luscious Lollies,20240129,food_cupboard,False,7.7,5.7,7.1
Morrisons,10.0,l,Bombay Sapphire Gin & Tonic,20240129,drinks,False,10.0,9.6,9.2
Morrisons,0.6,l,Buxton Still Natural Mineral Water,20240129,drinks,False,1.4,0.7,0.5
