supermarket,unit_price,unit,names,date,category,own_brand,ASDA_price,Morrisons_price,Tesco_price
Sains,7.0,kg,Bonne Maman Wild Blueberry Conserve,20240129,food_cupboard,False,9.7,7.7,9.7
Sains,10.2,kg,French's Classic Yellow Mustard,20240129,food_cupboard,False,10.2,10.2,
Sains,8.9,kg,Dr. Oetker Liquid Glucose,20240129,food_cupboard,False,15.4,15.4,15.4
Sains,7.1,kg,Betty Crocker Tempting Chocolate Cake Mix,20240129,food_cupboard,False,7.06,5.89,13.3
Sains,9.0,kg,Bonne Maman Hazelnut Chocolate Spread,20240129,food_cupboard,False,12.0,12.0,13.0
Sains,2.18,l,Fruit Shoot Orange Kids Juice Drink,20240129,drinks,False,1.6,1.9,2.1333333333333333
Sains,2.6555555555555563,l,Coca-Cola Zero Sugar,20240129,drinks,False,3.4,1.0,2.4
Sains,7.2,l,Yakult Balance,20240129,free-from,False,7.1,5.6,7.1
Sains,2.94,kg,Bakers Meaty Meals Adult Dry Dog Food Chicken,20240129,pets,False,2.87,3.33,2.87
Sains,12.45,kg,Cadbury Dairy Milk Caramel Chocolate Bar,20240129,food_cupboard,False,11.1,11.3,10.8
Sains,3.8,kg,Tilda Pure Basmati Rice,20240129,food_cupboard,False,4.0,2.6,4.35
Sains,5.53,kg,Sharwood's Fine Egg Noodles,20240129,food_cupboard,False,8.81,8.85,8.85
Sains,5.8,kg,Blue Dragon Sweet Chilli & Garlic Stir Fry Sauce,20240129,fresh_food,False,7.9,7.9,7.9
Sains,4.5,l,Jimmy's Iced Coffee Mocha,20240129,fresh_food,False,6.8,6.8,7.3
Sains,2.45,l,Fanta Fruit Twist,20240129,drinks,False,1.0,1.0,2.2
Sains,3.5,l,Pepsi Max Lime No Sugar Cola Bottle,20240129,drinks,False,3.1,1.0,1.7666666666666668
Sains,5.7333333333333325,kg,Heinz Tomato Ketchup,20240129,free-from,False,4.6,5.4,3.9
Sains,14.0,kg,Schar Gluten Free Jaffa Cakes,20240129,free-from,False,9.3,,9.3
Sains,4.0,kg,Ambrosia Devon Custard,20240129,food_cupboard,False,2.5,6.3,4.2
Sains,7.9,kg,Pip & Nut Crunchy Peanut Butter,20240129,food_cupboard,False,6.3,6.7,10.3
Sains,7.9,kg,Kellogg's Special K Oats & Honey Cereal,20240129,fresh_food,False,7.8,7.8,7.9
Sains,29.9,kg,Peperami Original Salami,20240129,fresh_food,False,55.6,,57.8
Sains,3.03,kg,McCain Crispy French Fries,20240129,free-from,False,3.07,2.5,3.315
Sains,15.5,kg,Rustlers All Day Breakfast Pancake Stack,20240129,free-from,False,13.95,17.4,14.34
Sains,33.4,kg,Sudocrem Antiseptic Healing Cream,20240129,baby_products,False,18.8,30.0,38.66666666666666
Sains,320.0,l,Sudafed Blocked Nose Spray,20240129,health_products,False,,366.7,320.0
Sains,8.2,l,Haagen-Dazs Vanilla Ice Cream,20240129,frozen,False,8.1,11.3,11.7
Sains,6.7,kg,Aunt Bessie's Jam Roly Poly,20240129,frozen,False,6.3,8.3,6.7
Sains,5.88,kg,Quorn Vegetarian Chicken & Leek Family Pie,20240129,frozen,False,5.88,5.15,5.88
Sains,13.35,kg,Bisto Best Chicken Gravy Granules,20240129,food_cupboard,False,13.0,13.0,17.8
Sains,16.5,kg,Bisto Best Lamb Gravy Granules,20240129,food_cupboard,False,13.0,,17.8
Sains,5.8,kg,Blue Dragon Satay Stir Fry Sauce,20240129,food_cupboard,False,7.9,7.92,7.9
Sains,11.566666666666668,kg,Bisto Chicken Gravy Granules,20240129,food_cupboard,False,14.7,14.7,13.566666666666668
Sains,4.125,kg,Birds Eye Petits Pois,20240129,fresh_food,False,,3.67,
Sains,3.95,kg,Clover Spread,20240129,fresh_food,False,4.8,3.5,4.0
Sains,3.3,l,Tropicana Pressed Apple Fruit Juice,20240129,fresh_food,False,2.8,2.0,2.7
Sains,33.33,kg,Squeaky Bean Spanish Chorizo Style Slices,20240129,fresh_food,False,31.67,27.78,31.67
Sains,13.283333333333333,kg,Paxo Sage & Onion Stuffing Mix,20240129,fresh_food,False,15.88,15.88,12.95
Sains,1.2999999999999998,l,Fanta Orange Zero,20240129,drinks,False,3.4,1.0,2.2
Sains,1.5,l,Old Jamaica Ginger Beer,20240129,drinks,False,1.8,1.8,1.5
Sains,4.5,l,Jimmy's Iced Coffee Original,20240129,drinks,False,7.3,6.8,7.3
Sains,2.8,kg,Yeo Valley Organic Strawberry Yogurt,20240129,free-from,False,4.3,5.0,5.7
Sains,25.0,kg,Cape Herb & Spice Rub Louisiana Cajun Seasoning,20240129,free-from,False,25.0,34.9,35.0
Sains,10.0,kg,Pringles Smokey Bacon Sharing Crisps,20240129,food_cupboard,False,12.2,12.2,12.2
Sains,3.5,l,Lee Kum Kee Premium Dark Soy Sauce,20240129,food_cupboard,False,9.3,9.9,7.3
Sains,7.1,kg,Betty Crocker Zesty Lemon Cake Mix,20240129,food_cupboard,False,7.06,,
Sains,3.616666666666666,kg,Birds Eye Garden Peas,20240129,fresh_food,False,2.31,4.27,3.526666666666667
Sains,6.3,kg,Arla Protein Blueberry Yogurt,20240129,fresh_food,False,5.5,7.2,6.2
Sains,3.2375000000000003,l,Coca-Cola Original Taste,20240129,fresh_food,False,1.6,2.5,3.128571428571429
Sains,5.433333333333334,l,Red Bull Energy Drink,20240129,fresh_food,False,4.3,5.1,4.8
