supermarket,unit_price,unit,names,date,category,own_brand,ASDA_price,Morrisons_price,Sains_price
Tesco,4.2,kg,Heinz Oxtail Soup,20240129,food_cupboard,False,4.2,4.2,4.3
Tesco,10.5,l,Lea & Perrins Worcestershire Sauce,20240129,food_cupboard,False,11.3,11.3,10.15
Tesco,3.9,kg,Heinz Tomato Ketchup,20240129,food_cupboard,False,4.6,5.4,5.7333333333333325
Tesco,10.0,kg,Fullgreen Riced Cauliflower & Broccoli,20240129,food_cupboard,False,5.0,9.95,10.0
Tesco,4.2,kg,Heinz Broccoli & Stilton Soup,20240129,food_cupboard,False,4.2,4.2,3.0
Tesco,10.65,kg,Walkers Classic Variety Multipack Crisps,20240129,food_cupboard,False,13.3,10.5,11.666666666666664
Tesco,6.2,kg,Arla Protein Blueberry Yogurt,20240129,fresh_food,False,5.5,7.2,6.3
Tesco,3.128571428571429,l,Coca-Cola Original Taste,20240129,drinks,False,1.6,2.5,3.2375000000000003
Tesco,2.1333333333333333,l,Fruit Shoot Orange Kids Juice Drink,20240129,drinks,False,1.6,1.9,2.18
Tesco,2.7,l,Schweppes Lemonade,20240129,drinks,False,0.7,0.7,2.0
Tesco,4.2,kg,Ambrosia Devon Custard,20240129,food_cupboard,False,2.5,6.3,4.0
Tesco,13.566666666666668,kg,Bisto Chicken Gravy Granules,20240129,food_cupboard,False,14.7,14.7,11.566666666666668
Tesco,5.0,kg,Dolmio Bolognese Chunky Mushroom Pasta Sauce,20240129,food_cupboard,False,3.5,5.0,5.0
Tesco,18.42,kg,Wagamama Katsu Curry Meal Kit,20240129,food_cupboard,False,11.3,15.8,14.5
Tesco,11.5,kg,Ginsters Chicken Tikka Slice,20240129,fresh_food,False,11.5,7.3,7.4
Tesco,10.3,kg,Pukka Chicken & Bacon Slice,20240129,fresh_food,False,10.3,10.3,10.3
Tesco,612.85,kg,Sterling Rolling Tobacco Essential,20240129,home,False,609.0,609.0,18.5
Tesco,10.8,kg,Cadbury Dairy Milk Caramel Chocolate Bar,20240129,food_cupboard,False,11.1,11.3,12.45
Tesco,4.2,kg,Heinz Beef Broth Soup,20240129,food_cupboard,False,4.2,4.2,4.3
Tesco,4.55,kg,Dolmio Lasagne Creamy White Sauce,20240129,food_cupboard,False,3.9,5.3,3.8
Tesco,9.7,kg,Bonne Maman Wild Blueberry Conserve,20240129,food_cupboard,False,9.7,7.7,7.0
Tesco,7.3,l,Lee Kum Kee Premium Dark Soy Sauce,20240129,food_cupboard,False,9.3,9.9,3.5
Tesco,6.0,kg,Rajah Haldi Ground Turmeric,20240129,food_cupboard,False,7.5,10.0,4.0
Tesco,4.8,l,Red Bull Energy Drink,20240129,fresh_food,False,4.3,5.1,5.433333333333334
Tesco,13.0,kg,Walkers Prawn Cocktail Multipack Crisps,20240129,food_cupboard,False,13.3,14.7,14.7
Tesco,13.633333333333333,kg,Cadbury Caramilk Golden Caramel Chocolate Bar,20240129,food_cupboard,False,16.7,20.3,18.3
Tesco,11.45,kg,Cadbury Dairy Milk Chocolate Bar,20240129,food_cupboard,False,13.6,11.1,13.580000000000002
Tesco,1.7,l,Coca-Cola Cherry,20240129,drinks,False,1.4,3.8,2.85
Tesco,3.15,l,Innocent Apple Juice,20240129,drinks,False,3.3,2.0,2.2
Tesco,16.700000000000006,kg,Lavazza Qualita Rossa Coffee Beans,20240129,drinks,False,17.6,15.8,14.5
Tesco,1.9333333333333336,l,Fanta Lemon,20240129,drinks,False,1.4,1.0,2.25
Tesco,11.725,kg,Dairylea Cheese Spread,20240129,food_cupboard,False,10.93,8.33,11.17
Tesco,4.9,kg,Heinz Seriously Good Light Mayonnaise,20240129,food_cupboard,False,4.4,4.9,5.6000000000000005
Tesco,5.7,kg,Swizzels Luscious Lollies,20240129,food_cupboard,False,7.7,6.5,7.1
Tesco,7.3,l,Lee Kum Kee Premium Light Soy Sauce,20240129,food_cupboard,False,9.3,9.9,3.5
Tesco,13.0,kg,Walkers Smoky Bacon Multipack Crisps,20240129,food_cupboard,False,13.3,14.7,14.7
Tesco,38.1,l,Cetaphil Oily Skin Cleanser,20240129,health_products,False,31.8,31.8,28.6
